algorithm,total,completed,failed,mean_latency,p50,p95,p99,p999,goodput_rps,control_bytes,jain_fairness
rr,54125,54045,80,0.34489,0.322769,0.744318,0.928879,1.126035,900.75,0,0.999904
least,54094,54086,8,0.293712,0.258961,0.687029,0.86162,1.046301,901.43,0,0.977727
p2c,54093,54043,50,0.07895,0.056132,0.229902,0.344275,0.512652,900.72,0,0.99013
probing,54089,54085,4,0.058094,0.045522,0.154428,0.220176,0.314021,901.42,6923392,0.993325
ml,54145,54144,1,0.213906,0.190082,0.484593,0.607705,0.782121,902.4,0,0.956615
gdlb,54094,54086,8,0.293712,0.258961,0.687029,0.86162,1.046301,901.43,0,0.977727
