algorithm,total,completed,failed,mean_latency,p50,p95,p99,p999,goodput_rps,control_bytes,jain_fairness
rr,286949,286749,200,1.742351,1.695728,3.516318,4.244840,5.259593,4779.15,0,0.998871
least,290632,290611,21,0.823465,0.791467,1.623018,2.981633,3.947787,4843.52,0,0.964375
p2c,290471,290328,143,0.168413,0.122340,0.483890,0.694184,0.975926,4838.80,0,0.989704
probing,291532,291293,239,0.094139,0.082371,0.220745,0.292254,0.389351,4854.88,37316096,0.991655
ml,290229,290220,9,0.716003,0.676580,1.386786,2.966719,3.948640,4837.00,0,0.942841
gdlb,290632,290611,21,0.823465,0.791467,1.623018,2.981633,3.947787,4843.52,0,0.964375
