algorithm,total,completed,failed,mean_latency,p50,p95,p99,p999,goodput_rps,control_bytes,jain_fairness
rr,30459,30224,235,23.753890,22.337961,52.573210,61.567535,64.854223,503.73,0,0.999477
least,30700,30695,5,26.881064,26.246825,54.264466,61.473932,63.988656,511.58,0,0.947931
p2c,29775,29287,488,21.520674,22.077160,41.225695,46.667176,49.143238,488.12,0,0.996889
probing,29775,29287,488,21.496858,22.065671,41.225017,46.668775,49.227422,488.12,3811200,0.996199
ml,30706,30701,5,26.816713,26.093116,54.335994,61.451495,63.996746,511.68,0,0.952244
gdlb,30700,30695,5,26.881064,26.246825,54.264466,61.473932,63.988656,511.58,0,0.947931
