algorithm,total,completed,failed,mean_latency,p50,p95,p99,p999,goodput_rps,control_bytes,jain_fairness
rr,89594,89454,140,2.072595,0.751158,8.639200,11.209113,14.201734,1490.90,0,0.999865
least,90270,90254,16,1.306337,1.183751,2.688384,3.081095,3.382360,1504.23,0,0.990207
gdlb,90270,90254,16,1.306337,1.183751,2.688384,3.081095,3.382360,1504.23,0,0.990207
